Employee,Shift,Department,Hours,Day Off,PT or FT,Number of Days available to work
Person1,2nd Shift,Grocery,1200 - 2100,Wednesday,PT,4
Person2,2nd Shift,Grocery,1200 - 2100,Thursday,PT,4
Person3,1st Shift,Customer Service,0600 - 1500,Sunday,PT,4
Person4,1st Shift,Grocery,0600 - 1500,Saturday,FT,5
Person5,3rd Shift,Customer Service,1400-2300,Monday,FT,5
Person6,1st Shift,Grocery,0600 - 1500,Saturday,PT,4
Person7,1st Shift,Meat,0600 - 1500,Monday,FT,5
Person8,3rd Shift,Grocery,1400-2300,Monday,PT,4
Person9,1st Shift,Customer Service,0600 - 1500,Wednesday,FT,5
Person10,1st Shift,Meat,0600 - 1500,Monday,FT,5
Person11,3rd Shift,Customer Service,1400-2300,Saturday,FT,5
Person12,1st Shift,Grocery,0600 - 1500,Tuesday,PT,4
Person13,1st Shift,Meat,0600 - 1500,Friday,PT,4
Person14,2nd Shift,Grocery,1200 - 2100,Saturday,PT,4
Person15,2nd Shift,Meat,1200 - 2100,Friday,FT,5
Person16,2nd Shift,Meat,1200 - 2100,Sunday,PT,4
Person17,2nd Shift,Meat,1200 - 2100,Thursday,FT,5
Person18,2nd Shift,Grocery,1200 - 2100,Thursday,PT,4
Person19,3rd Shift,Customer Service,1400-2300,Saturday,PT,4
Person20,3rd Shift,Meat,1400-2300,Saturday,PT,4
Person21,1st Shift,Customer Service,0600 - 1500,Monday,FT,5
Person22,3rd Shift,Meat,1400-2300,Monday,FT,5
Person23,3rd Shift,Meat,1400-2300,Sunday,FT,5
Person24,2nd Shift,Grocery,1200 - 2100,Sunday,PT,4
Person25,2nd Shift,Meat,1200 - 2100,Saturday,FT,5
Person26,2nd Shift,Meat,1200 - 2100,Tuesday,FT,5
Person27,1st Shift,Grocery,0600 - 1500,Saturday,PT,4
Person28,3rd Shift,Grocery,1400-2300,Sunday,PT,4
Person29,2nd Shift,Customer Service,1200 - 2100,Tuesday,PT,4
Person30,3rd Shift,Customer Service,1400-2300,Tuesday,FT,5
Person31,3rd Shift,Grocery,1400-2300,Thursday,FT,5
Person32,3rd Shift,Customer Service,1400-2300,Thursday,PT,4
Person33,1st Shift,Meat,0600 - 1500,Monday,FT,5
Person34,1st Shift,Customer Service,0600 - 1500,Thursday,PT,4
Person35,1st Shift,Meat,0600 - 1500,Friday,PT,4
Person36,1st Shift,Meat,0600 - 1500,Tuesday,FT,5
Person37,2nd Shift,Customer Service,1200 - 2100,Thursday,PT,4
Person38,3rd Shift,Grocery,1400-2300,Monday,PT,4
Person39,3rd Shift,Grocery,1400-2300,Wednesday,PT,4
Person40,2nd Shift,Meat,1200 - 2100,Friday,FT,5
Person41,3rd Shift,Meat,1400-2300,Monday,PT,4
Person42,1st Shift,Meat,0600 - 1500,Tuesday,PT,4
Person43,2nd Shift,Meat,1200 - 2100,Thursday,FT,5
Person44,3rd Shift,Meat,1400-2300,Wednesday,PT,4
Person45,2nd Shift,Meat,1200 - 2100,Thursday,FT,5
Person46,2nd Shift,Meat,1200 - 2100,Wednesday,PT,4
Person47,1st Shift,Meat,0600 - 1500,Wednesday,FT,5
Person48,2nd Shift,Customer Service,1200 - 2100,Thursday,PT,4
Person49,2nd Shift,Customer Service,1200 - 2100,Monday,FT,5
Person50,3rd Shift,Meat,1400-2300,Sunday,FT,5
