Employee,Department,Shift,PT or FT,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Person1,Grocery,2nd Shift,PT,1200 - 2100,1200 - 2100,1200 - 2100,0.0,1200 - 2100,0.0,0.0
Person2,Grocery,2nd Shift,PT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0,0.0
Person3,Customer Service,1st Shift,PT,0.0,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0,0.0
Person4,Grocery,1st Shift,FT,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0,0.0
Person5,Customer Service,3rd Shift,FT,1400-2300,0.0,1400-2300,1400-2300,1400-2300,1400-2300,0.0
Person6,Grocery,1st Shift,PT,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0,0.0,0.0
Person7,Meat,1st Shift,FT,0600 - 1500,0.0,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0
Person8,Grocery,3rd Shift,PT,1400-2300,0.0,1400-2300,1400-2300,1400-2300,0.0,0.0
Person9,Customer Service,1st Shift,FT,0600 - 1500,0600 - 1500,0600 - 1500,0.0,0600 - 1500,0600 - 1500,0.0
Person10,Meat,1st Shift,FT,0600 - 1500,0.0,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0
Person11,Customer Service,3rd Shift,FT,1400-2300,1400-2300,1400-2300,1400-2300,1400-2300,0.0,0.0
Person12,Grocery,1st Shift,PT,0600 - 1500,0600 - 1500,0.0,0600 - 1500,0600 - 1500,0.0,0.0
Person13,Meat,1st Shift,PT,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0,0.0,0.0
Person14,Grocery,2nd Shift,PT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0,0.0
Person15,Meat,2nd Shift,FT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0
Person16,Meat,2nd Shift,PT,0.0,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0
Person17,Meat,2nd Shift,FT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,1200 - 2100,0.0
Person18,Grocery,2nd Shift,PT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0,0.0
Person19,Customer Service,3rd Shift,PT,1400-2300,1400-2300,1400-2300,1400-2300,0.0,0.0,0.0
Person20,Meat,3rd Shift,PT,1400-2300,1400-2300,1400-2300,1400-2300,0.0,0.0,0.0
Person21,Customer Service,1st Shift,FT,0600 - 1500,0.0,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0
Person22,Meat,3rd Shift,FT,1400-2300,0.0,1400-2300,1400-2300,1400-2300,1400-2300,0.0
Person23,Meat,3rd Shift,FT,0.0,1400-2300,1400-2300,1400-2300,1400-2300,1400-2300,0.0
Person24,Grocery,2nd Shift,PT,0.0,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0
Person25,Meat,2nd Shift,FT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0
Person26,Meat,2nd Shift,FT,1200 - 2100,1200 - 2100,0.0,1200 - 2100,1200 - 2100,1200 - 2100,0.0
Person27,Grocery,1st Shift,PT,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0,0.0,0.0
Person28,Grocery,3rd Shift,PT,0.0,1400-2300,1400-2300,1400-2300,1400-2300,0.0,0.0
Person29,Customer Service,2nd Shift,PT,1200 - 2100,1200 - 2100,0.0,1200 - 2100,1200 - 2100,0.0,0.0
Person30,Customer Service,3rd Shift,FT,1400-2300,1400-2300,0.0,1400-2300,1400-2300,1400-2300,0.0
Person31,Grocery,3rd Shift,FT,1400-2300,1400-2300,1400-2300,1400-2300,0.0,1400-2300,0.0
Person32,Customer Service,3rd Shift,PT,1400-2300,1400-2300,1400-2300,1400-2300,0.0,0.0,0.0
Person33,Meat,1st Shift,FT,0600 - 1500,0.0,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0
Person34,Customer Service,1st Shift,PT,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0,0.0,0.0
Person35,Meat,1st Shift,PT,0600 - 1500,0600 - 1500,0600 - 1500,0600 - 1500,0.0,0.0,0.0
Person36,Meat,1st Shift,FT,0600 - 1500,0600 - 1500,0.0,0600 - 1500,0600 - 1500,0600 - 1500,0.0
Person37,Customer Service,2nd Shift,PT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0,0.0
Person38,Grocery,3rd Shift,PT,1400-2300,0.0,1400-2300,1400-2300,1400-2300,0.0,0.0
Person39,Grocery,3rd Shift,PT,1400-2300,1400-2300,1400-2300,0.0,1400-2300,0.0,0.0
Person40,Meat,2nd Shift,FT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0
